1,48961,7437
2,122644,2357
3,49593,4283
4,329118,9386
5,25894,2184
6,365102,989
7,155527,5409
8,168879,8353
9,336645,4907
10,325625,5553
11,340892,5445
12,334999,7894
13,139819,625
14,93916,6969
15,8951,5642
16,246820,7987
17,317015,4409
18,36926,8136
19,40640,1511
20,273359,4110
21,187062,7560
22,276830,8759
23,253934,4306
24,90510,6848
25,233212,5717
26,167596,5598
27,14998,4923
28,159192,2795
29,178267,8924
30,75427,3497
31,211984,1462
32,135179,1705
33,128163,4650
34,276532,8205
35,42503,4876
36,293472,8048
37,14283,31
38,181909,7965
39,218932,4237
40,139048,7565
41,110170,9824
42,190523,5844
43,70762,4421
44,285531,1405
45,315631,6357
46,214313,5172
47,212367,335
48,220208,1890
49,212135,3925
50,329609,313
51,61524,8408
52,149822,3375
53,340258,2269
54,366955,2268
55,233296,8755
56,220738,3389
57,39110,6251
58,335787,5369
59,5938,7423
60,97073,2435
61,202841,2965
62,56820,1928
63,266640,8778
64,216322,4129
65,306619,1859
66,9507,6277
67,236211,2558
68,65109,3521
69,61386,7119
70,40461,5119
71,259331,1724
72,68814,3704
73,247817,9053
74,208365,1572
75,117008,1446
76,128742,3100
77,346121,2964
78,318096,372
79,14001,3044
80,342079,7262
81,84397,304
82,137395,120
83,89031,4525
84,334361,4514
85,99924,6042
86,143546,7526
87,365494,3190
88,268706,3319
89,209823,4397
90,83337,3197
91,171169,3083
92,298620,4547
93,233402,9537
94,198714,4646
95,64968,7544
96,40691,9521
97,51454,2211
98,11486,9718
99,344713,4852
100,115843,4498
